Clé de ticket;ID de ticket;Création
DUSWUSERSUPPSN1-3465;2342449;31/03/2022 18:18
DUSWUSERSUPPSN1-3464;2342418;31/03/2022 17:59
DUSWUSERSUPPSN1-3463;2342393;31/03/2022 17:46
DUSWUSERSUPPSN1-3462;2341952;31/03/2022 15:51
DUSWUSERSUPPSN1-3461;2341946;31/03/2022 15:49
DUSWUSERSUPPSN1-3460;2341940;31/03/2022 15:48
DUSWUSERSUPPSN1-3459;2341857;31/03/2022 15:29
DUSWUSERSUPPSN1-3458;2341805;31/03/2022 15:15
DUSWUSERSUPPSN1-3456;2341759;31/03/2022 15:03
DUSWUSERSUPPSN1-3455;2341615;31/03/2022 14:18
DUSWUSERSUPPSN1-3453;2341515;31/03/2022 12:37
DUSWUSERSUPPSN1-3452;2341513;31/03/2022 12:34
DUSWUSERSUPPSN1-3451;2341500;31/03/2022 12:24
DUSWUSERSUPPSN1-3450;2341442;31/03/2022 11:58
DUSWUSERSUPPSN1-3449;2341422;31/03/2022 11:54
DUSWUSERSUPPSN1-3448;2341290;31/03/2022 11:31
DUSWUSERSUPPSN1-3447;2341229;31/03/2022 11:13
DUSWUSERSUPPSN1-3446;2341193;31/03/2022 11:06
DUSWUSERSUPPSN1-3445;2341010;31/03/2022 10:22
DUSWUSERSUPPSN1-3444;2341008;31/03/2022 10:21
DUSWUSERSUPPSN1-3443;2340965;31/03/2022 10:14
DUSWUSERSUPPSN1-3442;2340955;31/03/2022 10:13
DUSWUSERSUPPSN1-3441;2340899;31/03/2022 10:04
DUSWUSERSUPPSN1-3440;2340887;31/03/2022 10:01
DUSWUSERSUPPSN1-3439;2340884;31/03/2022 10:00
DUSWUSERSUPPSN1-3438;2340872;31/03/2022 09:56
DUSWUSERSUPPSN1-3437;2340863;31/03/2022 09:54
DUSWUSERSUPPSN1-3436;2340844;31/03/2022 09:45
DUSWUSERSUPPSN1-3435;2340817;31/03/2022 09:35
DUSWUSERSUPPSN1-3434;2340798;31/03/2022 09:26
DUSWUSERSUPPSN1-3433;2340796;31/03/2022 09:25
DUSWUSERSUPPSN1-3432;2340785;31/03/2022 09:15
DUSWUSERSUPPSN1-3431;2340776;31/03/2022 09:11
DUSWUSERSUPPSN1-3430;2340342;30/03/2022 17:24
DUSWUSERSUPPSN1-3429;2340313;30/03/2022 17:09
DUSWUSERSUPPSN1-3428;2340283;30/03/2022 16:55
DUSWUSERSUPPSN1-3427;2340272;30/03/2022 16:49
DUSWUSERSUPPSN1-3426;2340257;30/03/2022 16:45
DUSWUSERSUPPSN1-3425;2340207;30/03/2022 16:32
DUSWUSERSUPPSN1-3424;2340177;30/03/2022 16:26
DUSWUSERSUPPSN1-3423;2340165;30/03/2022 16:21
DUSWUSERSUPPSN1-3422;2340136;30/03/2022 16:14
DUSWUSERSUPPSN1-3421;2340119;30/03/2022 16:11
DUSWUSERSUPPSN1-3420;2340099;30/03/2022 16:05
DUSWUSERSUPPSN1-3419;2340069;30/03/2022 15:55
DUSWUSERSUPPSN1-3418;2339945;30/03/2022 15:20
DUSWUSERSUPPSN1-3417;2339912;30/03/2022 15:10
DUSWUSERSUPPSN1-3416;2339789;30/03/2022 14:41
DUSWUSERSUPPSN1-3415;2339649;30/03/2022 14:02
